1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
43,54,48,32,37,20,21,16,24,25,17,30,49,26,64,53,45,39,14,62,51,55,50,47,35,4,8,34,40,56,10,46,1,41,7,57,60,12,23,13,9,19,36,11,29,22,2,33,58,63,38,15,31,27,61,59,52,42,18,3,5,28,44,6
34,36,51,28,59,49,13,27,19,35,40,48,3,42,21,39,54,2,29,4,10,56,64,8,24,22,41,43,53,15,38,9,16,32,45,6,31,44,62,20,30,63,12,52,25,37,61,58,33,47,60,18,17,57,14,5,46,55,26,50,1,23,11,7
35,10,50,30,14,61,39,18,32,5,23,38,44,57,28,43,34,6,3,63,33,9,58,11,52,1,13,60,55,51,21,7,15,4,24,27,56,49,8,2,20,26,53,40,62,54,64,59,45,46,41,12,48,37,22,42,31,29,17,47,36,25,16,19
46,58,40,17,52,57,44,42,60,36,63,37,2,6,41,1,16,28,48,61,5,13,59,43,33,20,23,62,49,19,64,12,29,21,10,47,26,18,25,11,8,4,7,56,51,55,50,31,35,24,39,9,30,3,34,32,14,45,54,15,38,53,22,27
55,23,64,63,56,24,11,31,61,51,34,54,50,33,46,7,27,57,26,35,37,42,32,49,45,14,48,5,2,59,18,47,58,17,53,3,22,19,28,52,15,1,16,39,13,6,38,60,40,8,4,29,36,44,62,25,30,12,41,9,20,21,43,10
47,53,9,62,25,12,33,41,20,45,29,22,59,31,52,58,44,36,46,1,38,15,7,60,16,11,61,63,6,17,50,54,14,64,30,43,42,55,51,5,18,32,35,24,57,27,49,3,19,21,26,13,2,28,10,23,48,39,37,8,34,4,40,56
26,22,29,38,45,15,60,19,47,62,55,8,56,18,4,27,53,41,52,12,40,31,25,30,42,58,44,36,57,37,39,3,61,54,46,48,50,9,59,63,28,23,14,10,34,17,5,21,43,16,64,6,1,11,7,20,13,32,33,49,24,35,2,51
22,38,14,39,26,10,9,40,6,32,31,25,30,2,61,24,62,19,17,33,60,23,4,55,5,63,15,50,18,13,3,45,51,36,37,8,64,34,42,49,47,21,59,57,53,44,41,27,56,1,28,35,52,58,29,12,11,54,48,16,46,20,7,43
44,27,35,43,55,48,37,29,16,21,39,59,33,7,62,28,58,49,9,46,20,6,26,10,1,57,17,47,8,22,34,24,45,13,11,4,30,54,63,31,23,12,38,19,56,14,60,40,3,51,32,50,61,25,41,53,2,36,52,18,42,15,64,5
12,11,42,51,57,7,59,5,3,18,52,49,22,47,37,56,40,29,36,44,1,39,24,64,48,16,43,27,26,54,9,23,50,58,2,20,6,21,46,28,25,17,32,8,31,35,33,30,10,15,13,60,4,19,63,34,41,53,14,45,62,38,61,55
